step,mean_reward_agent_0,std_reward_agent_0,mean_cum_reward_agent_0,std_cum_reward_agent_0,mean_inst_regret_agent_0,std_inst_regret_agent_0,mean_cum_regret_agent_0,std_cum_regret_agent_0,mean_reward_agent_1,std_reward_agent_1,mean_cum_reward_agent_1,std_cum_reward_agent_1,mean_inst_regret_agent_1,std_inst_regret_agent_1,mean_cum_regret_agent_1,std_cum_regret_agent_1,prop_action_0_agent_0,prop_action_0_agent_1,prop_action_1_agent_0,prop_action_1_agent_1,prop_action_2_agent_0,prop_action_2_agent_1
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.2307692307692308,2.7755575615628914e-17,1.2307692307692304,4.440892098500626e-16,0.7692307692307693,1.1102230246251565e-16,0.7692307692307693,1.1102230246251565e-16,0.2307692307692308,2.7755575615628914e-17,1.2307692307692304,4.440892098500626e-16,0.7692307692307693,1.1102230246251565e-16,0.7692307692307693,1.1102230246251565e-16,1.0,0.0,0.0,1.0,0.0,0.0
2,0.0,0.0,1.2307692307692304,4.440892098500626e-16,1.0,0.0,1.76923076923077,8.881784197001252e-16,0.0,0.0,1.2307692307692304,4.440892098500626e-16,1.0,0.0,1.76923076923077,8.881784197001252e-16,1.0,0.0,0.0,0.0,0.0,1.0
3,0.2307692307692308,2.7755575615628914e-17,1.4615384615384615,2.220446049250313e-16,0.7692307692307693,1.1102230246251565e-16,2.538461538461539,8.881784197001252e-16,0.2307692307692308,2.7755575615628914e-17,1.4615384615384615,2.220446049250313e-16,0.7692307692307693,1.1102230246251565e-16,2.538461538461539,8.881784197001252e-16,0.0,1.0,1.0,0.0,0.0,0.0
4,0.38461538461538475,1.1102230246251565e-16,1.8461538461538465,2.220446049250313e-16,0.6153846153846152,2.220446049250313e-16,3.1538461538461537,0.0,0.38461538461538475,1.1102230246251565e-16,1.8461538461538465,2.220446049250313e-16,0.6153846153846152,2.220446049250313e-16,3.1538461538461537,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,0.2307692307692308,2.7755575615628914e-17,2.076923076923077,0.0,0.7692307692307693,1.1102230246251565e-16,3.923076923076922,8.881784197001252e-16,0.2307692307692308,2.7755575615628914e-17,2.076923076923077,0.0,0.7692307692307693,1.1102230246251565e-16,3.923076923076922,8.881784197001252e-16,0.0,0.0,1.0,0.0,0.0,1.0
6,0.0,0.0,2.076923076923077,0.0,1.0,0.0,4.923076923076922,1.7763568394002505e-15,0.0,0.0,2.076923076923077,0.0,1.0,0.0,4.923076923076922,1.7763568394002505e-15,0.0,1.0,0.0,0.0,1.0,0.0
7,0.2307692307692308,2.7755575615628914e-17,2.3076923076923075,4.440892098500626e-16,0.7692307692307693,1.1102230246251565e-16,5.6923076923076925,0.0,0.2307692307692308,2.7755575615628914e-17,2.3076923076923075,4.440892098500626e-16,0.7692307692307693,1.1102230246251565e-16,5.6923076923076925,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,1.0,0.0,3.307692307692307,8.881784197001252e-16,0.0,0.0,5.6923076923076925,0.0,1.0,0.0,3.307692307692307,8.881784197001252e-16,0.0,0.0,5.6923076923076925,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,0.4440769230769231,0.4436366056468092,3.7517692307692303,0.4436366056468094,0.5559230769230769,0.4436366056468091,6.24823076923077,0.4436366056468092,0.4440769230769231,0.4436366056468092,3.7517692307692303,0.4436366056468094,0.5559230769230769,0.4436366056468091,6.24823076923077,0.4436366056468092,0.502,0.342,0.0,0.282,0.498,0.376
